,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
166988,2004,113,Arson,2004/04/22 00:00:00.000,8.0,35.31388889,-84.23972222,POINT (205450.8836306796 3912669.808553933)
166941,2003,298,Arson,2003/10/26 00:00:00.000,34.0,35.31694444,-84.12944444,POINT (215491.2258555428 3912686.265108302)
153558,2002,96,Miscellaneous,2002/04/06 00:00:00.000,0.5,35.31694444,-84.13583333,POINT (214910.1959284809 3912704.648487302)
145023,2002,56,Miscellaneous,2002/02/26 00:00:00.000,175.0,35.32166667,-83.96166667,POINT (230764.8298775455 3912740.898913173)
153668,2002,120,Miscellaneous,2002/04/30 00:00:00.000,3.0,35.31472222,-84.23305556,POINT (206060.237648176 3912742.456451701)
1458560,2011,94,Arson,2011/04/04 00:00:00.000,2.0,35.24333333,-84.30555556,POINT (199202.0883179854 3905038.651562367)
1584921,2012,100,Smoking,2012/04/09 00:00:00.000,0.5,35.243717,-84.297967,POINT (199894.3022284731 3905058.22743035)
1280934,2009,48,Debris Burning,2009/02/17 00:00:00.000,0.1,35.247766999999996,-84.33614,POINT (196434.471898499 3905623.85279389)
1584549,2012,53,Debris Burning,2012/02/22 00:00:00.000,0.1,35.250316999999995,-84.28452,POINT (201142.6481173786 3905749.955805358)
1176551,2010,92,Debris Burning,2010/04/02 00:00:00.000,3.0,35.2491667,-84.3341667,POINT (196619.3187364676 3905773.127890174)
1518089,2011,306,Arson,2011/11/02 00:00:00.000,0.2,35.25101,-84.33473000000001,POINT (196574.9223491302 3905979.391912756)
1357466,2007,64,Debris Burning,2007/03/05 00:00:00.000,5.0,35.251166999999995,-84.33933,POINT (196156.79862209 3906010.904323283)
1356209,2007,286,Arson,2007/10/13 00:00:00.000,3.0,35.252067,-84.32016999999999,POINT (197904.1547523016 3906052.207525834)
1059516,2005,71,Arson,2005/03/12 00:00:00.000,82.5,35.25333333,-84.28777778,POINT (200857.2118718976 3906094.481165177)
1440889,2005,176,Arson,2005/06/25 00:00:00.000,1.5,35.255,-84.3,POINT (199750.8996758668 3906316.374735078)
1441004,2005,316,Arson,2005/11/12 00:00:00.000,120.0,35.255,-84.4016667,POINT (190497.2009571423 3906629.115438168)
1440815,2005,86,Arson,2005/03/27 00:00:00.000,10.0,35.2583333,-84.29166670000001,POINT (200521.661640721 3906661.033578425)
1356910,2007,338,Debris Burning,2007/12/04 00:00:00.000,0.1,35.26015,-84.27858,POINT (201719.4032224583 3906823.152161813)
