,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
135288,2001,120,Lightning,2001/04/30 00:00:00.000,2.0,35.435,-83.72,POINT (253085.5497160865 3924684.159956738)
246777,1998,170,Lightning,1998/06/20 00:00:00.000,0.1,35.45136,-83.702826,POINT (254694.632567571 3926456.404001391)
358779,2006,95,Lightning,2006/04/18 00:00:00.000,913.0,35.521257,-83.909023,POINT (236204.0898073362 3934743.769342689)
246743,1993,254,Lightning,1993/09/17 00:00:00.000,90.0,35.532265,-83.918575,POINT (235373.8345933987 3935990.762699998)
358736,2001,117,Lightning,,6.0,35.538216999999996,-83.813499,POINT (244922.4512983888 3936373.865307125)
934564,2002,178,Lightning,,20.0,35.59,-83.92,POINT (235434.6240516226 3942400.491935347)
358800,2007,229,Lightning,2007/08/27 00:00:00.000,34.0,35.599024,-83.64681800000001,POINT (260219.1225349236 3942701.150605255)
1005929,1993,107,Lightning,,1.0,35.5083,-82.745,POINT (341748.7946181099 3930813.916206)
1026030,1997,263,Lightning,,0.1,35.5017,-82.8783,POINT (329644.7208712418 3930303.922570146)
246776,1998,96,Lightning,,370.0,35.488309,-83.541513,POINT (269444.0615738867 3930166.565406329)
174278,1992,81,Lightning,1992/03/21 00:00:00.000,5.0,35.4834,-83.2665,POINT (294384.1690796731 3929013.832948905)
1038623,2000,131,Lightning,,4.0,35.4833,-82.9,POINT (327637.059838306 3928300.600515859)
1459388,2011,101,Lightning,2011/04/12 00:00:00.000,0.25,35.44305556,-82.62638889,POINT (352387.1729275358 3923393.143260167)
1051209,2002,227,Lightning,,0.2,35.45,-82.7667,POINT (339664.882830285 3924382.186385736)
27222,2008,103,Lightning,2008/04/13 00:00:00.000,55.0,35.44527778,-83.50555556,POINT (272585.4570649031 3925309.218565091)
1046361,2001,126,Lightning,,4.0,35.3833,-83.5333,POINT (269890.4343026618 3918497.693964544)
83729,1995,80,Lightning,1995/03/22 00:00:00.000,1.0,35.36666667,-83.05166667,POINT (313607.7495797282 3915638.315170754)
59378,1993,208,Lightning,1993/07/28 00:00:00.000,2.0,35.445,-83.245,POINT (296238.078096587 3924709.409366885)
535066,2009,107,Lightning,,12.8,36.015679999999996,-82.1364,POINT (397597.1585577461 3986284.7777063)
31453,2008,170,Lightning,2008/06/22 00:00:00.000,30.0,35.95138889,-81.74472222,POINT (432838.1961824723 3978813.057511145)
59322,1993,192,Lightning,1993/07/14 00:00:00.000,12.0,35.955,-81.685,POINT (438227.0623978724 3979174.133088593)
59312,1993,162,Lightning,1993/06/12 00:00:00.000,2.0,35.96333333,-81.81333333,POINT (426661.5114462691 3980187.299783997)
8751,2006,147,Lightning,2006/05/27 00:00:00.000,1.0,35.97861111,-81.71,POINT (435991.601003002 3981809.114328546)
59313,1993,162,Lightning,1993/06/12 00:00:00.000,4.0,35.98,-81.76666667,POINT (430884.0684558295 3982001.844281839)
59323,1993,193,Lightning,1993/07/13 00:00:00.000,0.5,35.98166667,-81.71666667,POINT (435393.0637974801 3982152.424009674)
59314,1993,162,Lightning,1993/06/12 00:00:00.000,32.0,35.98166667,-81.80166667,POINT (427730.2327340172 3982212.080382877)
25030,2007,162,Lightning,2007/06/16 00:00:00.000,67.0,35.98666667,-81.835,POINT (424729.9371691755 3982791.888693822)
25028,2007,160,Lightning,2007/06/09 00:00:00.000,3.0,35.99027778,-81.84972222,POINT (423406.2811981451 3983203.892395715)
25047,2007,248,Lightning,2007/09/10 00:00:00.000,15.0,36.00833333,-81.815,POINT (426552.9446724991 3985179.857689924)
