# ppt,,,,,,
,MN101,MN102    ,MN101,MN102    ,MN101,MN102    
TIMESTEP,MEAN(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d)
1979-04-03T00:00:00Z,0,0,0,0,0,0
1979-04-04T00:00:00Z,0,0,0,0,0,0
1979-04-05T00:00:00Z,1.29924,1.8592463,1.7860829,3.7387476,1.3364441,1.9335841
1979-04-06T00:00:00Z,2.4253368,3.3516045,6.147787,11.629133,2.479473,3.4101515
1979-04-07T00:00:00Z,0.056523595,0.16476484,0.023749324,0.30114302,0.15410815,0.548765
1979-04-08T00:00:00Z,0.14057977,0.26293412,0.05986283,0.16306347,0.24466881,0.4038112
1979-04-09T00:00:00Z,0.5859441,1.1741605,1.3265026,2.0880976,1.1517389,1.4450251
1979-04-10T00:00:00Z,0.86087656,1.3405014,0.46998835,1.119885,0.68555695,1.0582461
1979-04-11T00:00:00Z,0.6405907,1.3668247,1.808478,3.4965308,1.3447967,1.8699013
1979-04-12T00:00:00Z,0.14454323,0.32344916,0.09646017,0.18818969,0.31058037,0.43380836
1979-04-13T00:00:00Z,0.032426693,0.08062923,0.010345929,0.020492923,0.10171494,0.14315349
1979-04-14T00:00:00Z,0,0,0,0,0,0
1979-04-15T00:00:00Z,0.10713142,0.21924114,0.039566636,0.118315734,0.19891363,0.34397054
1979-04-16T00:00:00Z,1.9155432,2.551096,2.4829593,3.9935215,1.5757408,1.9983797
1979-04-17T00:00:00Z,5.0266604,5.2039843,9.65227,11.41591,3.1068103,3.378744
1979-04-18T00:00:00Z,1.4441844,1.3449388,1.4291446,1.3600392,1.1954684,1.1662072
1979-04-19T00:00:00Z,0.404932,0.46295696,0.14803594,0.1617136,0.3847544,0.4021363
1979-04-20T00:00:00Z,0,0,0,0,0,0
1979-04-21T00:00:00Z,0.29673058,0.5345509,0.26274142,0.6438573,0.5125831,0.8024072
1979-04-22T00:00:00Z,4.983159,6.219645,18.23037,24.025135,4.269704,4.901544
1979-04-23T00:00:00Z,12.569834,12.398545,77.80502,76.54731,8.820716,8.749132
1979-04-24T00:00:00Z,4.5863256,4.1271734,16.370659,13.3323555,4.046067,3.6513498
1979-04-25T00:00:00Z,1.1271076,1.6947757,3.8079169,5.855619,1.9513885,2.4198387
1979-04-26T00:00:00Z,3.458925,4.875201,4.80923,7.766314,2.1929955,2.7868106
1979-04-27T00:00:00Z,2.836653,4.28734,9.082123,17.20267,3.0136561,4.14761
1979-04-28T00:00:00Z,0,0,0,0,0,0
1979-04-29T00:00:00Z,0,0,0,0,0,0
1979-04-30T00:00:00Z,0.036618657,0.07141456,0.004335753,0.012726777,0.065846436,0.11281302
1979-05-01T00:00:00Z,0.06181439,0.14201066,0.029388715,0.058172792,0.17143138,0.24119037
1979-05-02T00:00:00Z,0.003085097,0.057499725,0.004601908,0.07928415,0.067837365,0.2815744
1979-05-03T00:00:00Z,0,0,0,0,0,0
1979-05-04T00:00:00Z,0.50162494,0.93267673,0.7722823,2.0109808,0.8787959,1.4180906
1979-05-05T00:00:00Z,2.8893273,3.993461,7.737302,8.308975,2.7816005,2.8825293
1979-05-06T00:00:00Z,16.066008,16.843225,14.963118,24.250153,3.868219,4.9244447
1979-05-07T00:00:00Z,19.574732,21.726782,66.361145,97.46178,8.1462345,9.872273
1979-05-08T00:00:00Z,12.121696,12.646746,34.20634,41.16431,5.848619,6.4159417
1979-05-09T00:00:00Z,1.305426,2.7906077,9.469077,18.102482,3.0771866,4.254701
1979-05-10T00:00:00Z,0,0,0,0,0,0
1979-05-11T00:00:00Z,0,0,0,0,0,0
1979-05-12T00:00:00Z,0,0,0,0,0,0
1979-05-13T00:00:00Z,0,0,0,0,0,0
1979-05-14T00:00:00Z,0,0,0,0,0,0
1979-05-15T00:00:00Z,0,0,0,0,0,0
1979-05-16T00:00:00Z,0,0,0,0,0,0
1979-05-17T00:00:00Z,0,0,0,0,0,0
1979-05-18T00:00:00Z,0,0,0,0,0,0
1979-05-19T00:00:00Z,0,0,0,0,0,0
1979-05-20T00:00:00Z,0,0,0,0,0,0
1979-05-21T00:00:00Z,0,0,0,0,0,0
1979-05-22T00:00:00Z,0,0,0,0,0,0
1979-05-23T00:00:00Z,0,0,0,0,0,0
1979-05-24T00:00:00Z,0,0,0,0,0,0
1979-05-25T00:00:00Z,0,0,0,0,0,0
1979-05-26T00:00:00Z,0,0,0,0,0,0
1979-05-27T00:00:00Z,0,0,0,0,0,0
1979-05-28T00:00:00Z,0,0,0,0,0,0
1979-05-29T00:00:00Z,0,0,0,0,0,0
1979-05-30T00:00:00Z,0,0,0,0,0,0
1979-05-31T00:00:00Z,0,0,0,0,0,0
1979-06-01T00:00:00Z,0,0,0,0,0,0
1979-06-02T00:00:00Z,0,0,0,0,0,0
1979-06-03T00:00:00Z,0,0,0,0,0,0
1979-06-04T00:00:00Z,0,0,0,0,0,0
