# ppt,,,,,,
,MN101,MN101,MN101,MN102    ,MN102    ,MN102    
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1992-07-06T00:00:00Z,0,0,0,0,0,0
1992-07-07T00:00:00Z,0,0,0,0,0,0
1992-07-08T00:00:00Z,0,0,0,0,0,0
1992-07-09T00:00:00Z,0,0,0,0,0,0
1992-07-10T00:00:00Z,0.4897952,0.036776714,0.19177255,0.4897952,0.036776714,0.19177255
1992-07-11T00:00:00Z,8.619314,91.052986,9.542169,8.619314,91.052986,9.542169
1992-07-12T00:00:00Z,5.717303,7.522885,2.7427878,5.717303,7.522885,2.7427878
1992-07-13T00:00:00Z,1.9481401,0.7071323,0.84091157,1.9481401,0.7071323,0.84091157
1992-07-14T00:00:00Z,0.42718548,0.42030433,0.6483088,0.42718548,0.42030433,0.6483088
1992-07-15T00:00:00Z,1.2412696,0.6411872,0.8007417,1.2412696,0.6411872,0.8007417
1992-07-16T00:00:00Z,0.5023759,0.49145463,0.70103824,0.5023759,0.49145463,0.70103824
1992-07-17T00:00:00Z,5.813655,16.250206,4.031154,5.813655,16.250206,4.031154
1992-07-18T00:00:00Z,0,0,0,0,0,0
1992-07-19T00:00:00Z,0,0,0,0,0,0
1992-07-20T00:00:00Z,0,0,0,0,0,0
1992-07-21T00:00:00Z,0,0,0,0,0,0
1992-07-22T00:00:00Z,0,0,0,0,0,0
1992-07-23T00:00:00Z,0,0,0,0,0,0
1992-07-24T00:00:00Z,0,0,0,0,0,0
1992-07-25T00:00:00Z,0,0,0,0,0,0
1992-07-26T00:00:00Z,0,0,0,0,0,0
1992-07-27T00:00:00Z,0,0,0,0,0,0
1992-07-28T00:00:00Z,0,0,0,0,0,0
1992-07-29T00:00:00Z,0,0,0,0,0,0
1992-07-30T00:00:00Z,0,0,0,0,0,0
1992-07-31T00:00:00Z,0,0,0,0,0,0
1992-08-01T00:00:00Z,0,0,0,0,0,0
1992-08-02T00:00:00Z,0,0,0,0,0,0
1992-08-03T00:00:00Z,0,0,0,0,0,0
1992-08-04T00:00:00Z,0,0,0,0,0,0
1992-08-05T00:00:00Z,0,0,0,0,0,0
1992-08-06T00:00:00Z,0,0,0,0,0,0
1992-08-07T00:00:00Z,0,0,0,0,0,0
1992-08-08T00:00:00Z,0,0,0,0,0,0
1992-08-09T00:00:00Z,0,0,0,0,0,0
1992-08-10T00:00:00Z,0,0,0,0,0,0
1992-08-11T00:00:00Z,0.41234344,0.035054874,0.18722947,0.41234344,0.035054874,0.18722947
1992-08-12T00:00:00Z,0.10916547,3.18E-04,0.017830638,0.10916547,3.18E-04,0.017830638
1992-08-13T00:00:00Z,2.5084612,0.79668164,0.89257026,2.5084612,0.79668164,0.89257026
1992-08-14T00:00:00Z,5.6851,34.866253,5.904765,5.6851,34.866253,5.904765
1992-08-15T00:00:00Z,0.19667025,0.046523564,0.21569322,0.19667025,0.046523564,0.21569322
1992-08-16T00:00:00Z,0,0,0,0,0,0
1992-08-17T00:00:00Z,0,0,0,0,0,0
1992-08-18T00:00:00Z,0,0,0,0,0,0
1992-08-19T00:00:00Z,0,0,0,0,0,0
1992-08-20T00:00:00Z,0,0,0,0,0,0
1992-08-21T00:00:00Z,0,0,0,0,0,0
1992-08-22T00:00:00Z,0,0,0,0,0,0
1992-08-23T00:00:00Z,0,0,0,0,0,0
1992-08-24T00:00:00Z,0,0,0,0,0,0
1992-08-25T00:00:00Z,0,0,0,0,0,0
1992-08-26T00:00:00Z,0.21286784,0.11031751,0.3321408,0.21286784,0.11031751,0.3321408
1992-08-27T00:00:00Z,0,0,0,0,0,0
1992-08-28T00:00:00Z,1.037806,1.304601,1.1421913,1.037806,1.304601,1.1421913
1992-08-29T00:00:00Z,3.2374961,18.873232,4.344333,3.2374961,18.873232,4.344333
1992-08-30T00:00:00Z,2.1660757,0.23145641,0.4810992,2.1660757,0.23145641,0.4810992
1992-08-31T00:00:00Z,1.388557,0.58339214,0.7638011,1.388557,0.58339214,0.7638011
1992-09-01T00:00:00Z,0,0,0,0,0,0
1992-09-02T00:00:00Z,0,0,0,0,0,0
1992-09-03T00:00:00Z,0.2935834,0.20517944,0.45296738,0.2935834,0.20517944,0.45296738
1992-09-04T00:00:00Z,0,0,0,0,0,0
1992-09-05T00:00:00Z,0,0,0,0,0,0
1992-09-06T00:00:00Z,0,0,0,0,0,0
1992-09-07T00:00:00Z,0,0,0,0,0,0
1992-09-08T00:00:00Z,0,0,0,0,0,0
1992-09-09T00:00:00Z,0,0,0,0,0,0
1992-09-10T00:00:00Z,0,0,0,0,0,0
1992-09-11T00:00:00Z,0,0,0,0,0,0
1992-09-12T00:00:00Z,0,0,0,0,0,0
1992-09-13T00:00:00Z,0,0,0,0,0,0
1992-09-14T00:00:00Z,0,0,0,0,0,0
1992-09-15T00:00:00Z,0,0,0,0,0,0
1992-09-16T00:00:00Z,0,0,0,0,0,0
1992-09-17T00:00:00Z,4.8857937,3.4344544,1.8532281,4.8857937,3.4344544,1.8532281
1992-09-18T00:00:00Z,0.5772195,0.3866486,0.62181073,0.5772195,0.3866486,0.62181073
1992-09-19T00:00:00Z,0,0,0,0,0,0
1992-09-20T00:00:00Z,0,0,0,0,0,0
1992-09-21T00:00:00Z,0,0,0,0,0,0
1992-09-22T00:00:00Z,0,0,0,0,0,0
1992-09-23T00:00:00Z,0,0,0,0,0,0
1992-09-24T00:00:00Z,0,0,0,0,0,0
1992-09-25T00:00:00Z,0,0,0,0,0,0
1992-09-26T00:00:00Z,0,0,0,0,0,0
1992-09-27T00:00:00Z,0,0,0,0,0,0
1992-09-28T00:00:00Z,0,0,0,0,0,0
1992-09-29T00:00:00Z,0,0,0,0,0,0
1992-09-30T00:00:00Z,0,0,0,0,0,0
1992-10-01T00:00:00Z,1.9675368,5.368258,2.31695,1.9675368,5.368258,2.31695
1992-10-02T00:00:00Z,0.4552063,0.058401905,0.24166486,0.4552063,0.058401905,0.24166486
1992-10-03T00:00:00Z,0,0,0,0,0,0
1992-10-04T00:00:00Z,0,0,0,0,0,0
1992-10-05T00:00:00Z,0,0,0,0,0,0
1992-10-06T00:00:00Z,0,0,0,0,0,0
1992-10-07T00:00:00Z,0,0,0,0,0,0
1992-10-08T00:00:00Z,0,0,0,0,0,0
1992-10-09T00:00:00Z,0,0,0,0,0,0
1992-10-10T00:00:00Z,0,0,0,0,0,0
1992-10-11T00:00:00Z,0,0,0,0,0,0
1992-10-12T00:00:00Z,0,0,0,0,0,0
1992-10-13T00:00:00Z,0,0,0,0,0,0
1992-10-14T00:00:00Z,0,0,0,0,0,0
1992-10-15T00:00:00Z,0,0,0,0,0,0
1992-10-16T00:00:00Z,0,0,0,0,0,0
1992-10-17T00:00:00Z,0,0,0,0,0,0
1992-10-18T00:00:00Z,0,0,0,0,0,0
1992-10-19T00:00:00Z,0,0,0,0,0,0
1992-10-20T00:00:00Z,6.796614,16.002987,4.0003734,6.796614,16.002987,4.0003734
1992-10-21T00:00:00Z,0.76943874,0.17400837,0.4171431,0.76943874,0.17400837,0.4171431
1992-10-22T00:00:00Z,0.71380574,0.6275483,0.7921794,0.71380574,0.6275483,0.7921794
1992-10-23T00:00:00Z,0.26937774,0.175892,0.4193948,0.26937774,0.175892,0.4193948
1992-10-24T00:00:00Z,0,0,0,0,0,0
1992-10-25T00:00:00Z,0,0,0,0,0,0
1992-10-26T00:00:00Z,0,0,0,0,0,0
1992-10-27T00:00:00Z,3.654023,11.307173,3.362614,3.654023,11.307173,3.362614
1992-10-28T00:00:00Z,11.872649,128.11925,11.318977,11.872649,128.11925,11.318977
1992-10-29T00:00:00Z,7.9810667,34.602684,5.882405,7.9810667,34.602684,5.882405
1992-10-30T00:00:00Z,25.135435,147.87466,12.160373,25.135435,147.87466,12.160373
1992-10-31T00:00:00Z,2.3346856,2.9161284,1.7076676,2.3346856,2.9161284,1.7076676
1992-11-01T00:00:00Z,0.025484392,0.001852396,0.04303947,0.025484392,0.001852396,0.04303947
1992-11-02T00:00:00Z,0,0,0,0,0,0
1992-11-03T00:00:00Z,0,0,0,0,0,0
1992-11-04T00:00:00Z,0,0,0,0,0,0
1992-11-05T00:00:00Z,0,0,0,0,0,0
1992-11-06T00:00:00Z,0,0,0,0,0,0
1992-11-07T00:00:00Z,0,0,0,0,0,0
1992-11-08T00:00:00Z,0,0,0,0,0,0
1992-11-09T00:00:00Z,0,0,0,0,0,0
1992-11-10T00:00:00Z,0,0,0,0,0,0
1992-11-11T00:00:00Z,0,0,0,0,0,0
1992-11-12T00:00:00Z,0,0,0,0,0,0
1992-11-13T00:00:00Z,0,0,0,0,0,0
1992-11-14T00:00:00Z,0,0,0,0,0,0
1992-11-15T00:00:00Z,0,0,0,0,0,0
1992-11-16T00:00:00Z,0,0,0,0,0,0
1992-11-17T00:00:00Z,0,0,0,0,0,0
1992-11-18T00:00:00Z,2.6616378,2.6439455,1.6260214,2.6616378,2.6439455,1.6260214
1992-11-19T00:00:00Z,0.15868889,0.033778302,0.18378875,0.15868889,0.033778302,0.18378875
1992-11-20T00:00:00Z,0,0,0,0,0,0
1992-11-21T00:00:00Z,0.9482939,2.1392279,1.46261,0.9482939,2.1392279,1.46261
1992-11-22T00:00:00Z,0,0,0,0,0,0
1992-11-23T00:00:00Z,0.043570437,0.001021032,0.031953588,0.043570437,0.001021032,0.031953588
1992-11-24T00:00:00Z,0,0,0,0,0,0
1992-11-25T00:00:00Z,0.3153143,0.05143165,0.22678547,0.3153143,0.05143165,0.22678547
1992-11-26T00:00:00Z,2.0622973,3.8636842,1.9656256,2.0622973,3.8636842,1.9656256
1992-11-27T00:00:00Z,0.15868889,0.033778302,0.18378875,0.15868889,0.033778302,0.18378875
1992-11-28T00:00:00Z,0,0,0,0,0,0
1992-11-29T00:00:00Z,0,0,0,0,0,0
1992-11-30T00:00:00Z,0,0,0,0,0,0
1992-12-01T00:00:00Z,0,0,0,0,0,0
1992-12-02T00:00:00Z,1.5171614,0.69883597,0.8359641,1.5171614,0.69883597,0.8359641
1992-12-03T00:00:00Z,0.1713019,0.011207406,0.10586504,0.1713019,0.011207406,0.10586504
1992-12-04T00:00:00Z,0.084259026,0.002457785,0.049576055,0.084259026,0.002457785,0.049576055
1992-12-05T00:00:00Z,7.0216093,17.523397,4.1860957,7.0216093,17.523397,4.1860957
1992-12-06T00:00:00Z,31.631721,339.26166,18.419056,31.631721,339.26166,18.419056
1992-12-07T00:00:00Z,40.515556,68.61745,8.283565,40.515556,68.61745,8.283565
1992-12-08T00:00:00Z,76.354416,71.00187,8.426261,76.354416,71.00187,8.426261
1992-12-09T00:00:00Z,35.34609,142.7838,11.949217,35.34609,142.7838,11.949217
1992-12-10T00:00:00Z,13.503464,22.961113,4.7917757,13.503464,22.961113,4.7917757
1992-12-11T00:00:00Z,16.03925,63.331272,7.958095,16.03925,63.331272,7.958095
