Time,InitRow,InitColumn,InitPercentConifer,WindSpeed,WindDirection,FireWeatherIndex,TotalSites,CohortsKilled,MeanSeverity,
1, 68, 4, 0, 0, 0, 0.18198678555224, 0, 0, 0, 
1, 68, 5, 0, 0, 0, 0.18198678555224, 0, 0, 0, 
1, 68, 6, 0, 0, 0, 0.18198678555224, 0, 0, 0, 
1, 67, 6, 0, 0, 0, 0.18198678555224, 0, 0, 0, 
1, 66, 6, 0, 0, 0, 0.18198678555224, 0, 0, 0, 
1, 66, 7, 0, 0, 0, 0.18198678555224, 0, 0, 0, 
1, 1, 68, 0, 0, 0, NaN, 0, 0, 0, 
1, 1, 67, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 67, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 1, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 1, 65, 0, 0, 0, NaN, 0, 0, 0, 
1, 14, 70, 0, 0, 0, NaN, 0, 0, 0, 
1, 14, 71, 0, 0, 0, NaN, 0, 0, 0, 
1, 15, 71, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 71, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 70, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 69, 0, 0, 0, NaN, 0, 0, 0, 
1, 76, 16, 0, 0, 0, 0.165382486120651, 0, 0, 0, 
1, 75, 16, 0, 0, 0, 0.165382486120651, 0, 0, 0, 
1, 75, 17, 0, 0, 0, 0.165382486120651, 0, 0, 0, 
1, 76, 17, 0, 0, 0, 0.165382486120651, 0, 0, 0, 
1, 77, 17, 0, 0, 0, 0.165382486120651, 0, 0, 0, 
1, 78, 17, 0, 0, 0, 0.165382486120651, 0, 0, 0, 
1, 54, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 55, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 55, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 52, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 53, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 55, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 56, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 89, 28, 0, 0, 0, NaN, 0, 0, 0, 
1, 90, 28, 0, 0, 0, NaN, 0, 0, 0, 
1, 90, 27, 0, 0, 0, NaN, 0, 0, 0, 
1, 91, 27, 0, 0, 0, NaN, 0, 0, 0, 
1, 92, 27, 0, 0, 0, NaN, 0, 0, 0, 
1, 92, 28, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 51, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 52, 0, 0, 0, NaN, 0, 0, 0, 
1, 53, 52, 0, 0, 0, NaN, 0, 0, 0, 
1, 53, 53, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 53, 0, 0, 0, NaN, 0, 0, 0, 
1, 54, 54, 0, 0, 0, NaN, 0, 0, 0, 
1, 75, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 76, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 76, 73, 0, 0, 0, NaN, 0, 0, 0, 
1, 75, 73, 0, 0, 0, NaN, 0, 0, 0, 
1, 74, 73, 0, 0, 0, NaN, 0, 0, 0, 
1, 73, 73, 0, 0, 0, NaN, 0, 0, 0, 
1, 99, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 99, 98, 0, 0, 0, NaN, 0, 0, 0, 
1, 99, 99, 0, 0, 0, NaN, 0, 0, 0, 
1, 98, 99, 0, 0, 0, NaN, 0, 0, 0, 
1, 98, 98, 0, 0, 0, NaN, 0, 0, 0, 
1, 98, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 17, 60, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 60, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 61, 0, 0, 0, NaN, 0, 0, 0, 
1, 17, 61, 0, 0, 0, NaN, 0, 0, 0, 
1, 18, 61, 0, 0, 0, NaN, 0, 0, 0, 
1, 19, 61, 0, 0, 0, NaN, 0, 0, 0, 
1, 71, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 72, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 73, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 74, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 74, 75, 0, 0, 0, NaN, 0, 0, 0, 
1, 73, 75, 0, 0, 0, NaN, 0, 0, 0, 
1, 41, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 41, 67, 0, 0, 0, NaN, 0, 0, 0, 
1, 40, 67, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 67, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 65, 0, 0, 0, NaN, 0, 0, 0, 
1, 94, 75, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 75, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 75, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 73, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 73, 0, 0, 0, NaN, 0, 0, 0, 
1, 81, 60, 0, 0, 0, NaN, 0, 0, 0, 
1, 81, 59, 0, 0, 0, NaN, 0, 0, 0, 
1, 81, 58, 0, 0, 0, NaN, 0, 0, 0, 
1, 80, 58, 0, 0, 0, NaN, 0, 0, 0, 
1, 80, 57, 0, 0, 0, NaN, 0, 0, 0, 
1, 80, 56, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 17, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 18, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 19, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 19, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 20, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 5, 80, 0, 0, 0, NaN, 0, 0, 0, 
1, 5, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 5, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 6, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 6, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 6, 80, 0, 0, 0, NaN, 0, 0, 0, 
1, 49, 15, 0, 0, 0, 0.181547215114335, 0, 0, 0, 
1, 48, 15, 0, 0, 0, 0.181547215114335, 0, 0, 0, 
1, 48, 16, 0, 0, 0, 0.181547215114335, 0, 0, 0, 
1, 48, 17, 0, 0, 0, 0.181547215114335, 0, 0, 0, 
1, 47, 17, 0, 0, 0, 0.181547215114335, 0, 0, 0, 
1, 46, 17, 0, 0, 0, 0.181547215114335, 0, 0, 0, 
1, 61, 9, 0, 0, 0, 0.185964508584541, 0, 0, 0, 
1, 61, 8, 0, 0, 0, 0.185964508584541, 0, 0, 0, 
1, 62, 8, 0, 0, 0, 0.185964508584541, 0, 0, 0, 
1, 62, 9, 0, 0, 0, 0.185964508584541, 0, 0, 0, 
1, 63, 9, 0, 0, 0, 0.185964508584541, 0, 0, 0, 
1, 63, 8, 0, 0, 0, 0.185964508584541, 0, 0, 0, 
1, 42, 18, 0, 0, 0, 0.184048260657614, 0, 0, 0, 
1, 42, 19, 0, 0, 0, 0.184048260657614, 0, 0, 0, 
1, 43, 19, 0, 0, 0, 0.184048260657614, 0, 0, 0, 
1, 44, 19, 0, 0, 0, 0.184048260657614, 0, 0, 0, 
1, 45, 19, 0, 0, 0, 0.184048260657614, 0, 0, 0, 
1, 45, 18, 0, 0, 0, 0.184048260657614, 0, 0, 0, 
1, 45, 29, 0, 0, 0, NaN, 0, 0, 0, 
1, 45, 30, 0, 0, 0, NaN, 0, 0, 0, 
1, 46, 30, 0, 0, 0, NaN, 0, 0, 0, 
1, 46, 29, 0, 0, 0, NaN, 0, 0, 0, 
1, 47, 29, 0, 0, 0, NaN, 0, 0, 0, 
1, 47, 28, 0, 0, 0, NaN, 0, 0, 0, 
1, 43, 68, 0, 0, 0, NaN, 0, 0, 0, 
1, 42, 68, 0, 0, 0, NaN, 0, 0, 0, 
1, 41, 68, 0, 0, 0, NaN, 0, 0, 0, 
1, 40, 68, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 68, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 69, 0, 0, 0, NaN, 0, 0, 0, 
1, 60, 43, 0, 0, 0, NaN, 0, 0, 0, 
1, 60, 44, 0, 0, 0, NaN, 0, 0, 0, 
1, 61, 44, 0, 0, 0, NaN, 0, 0, 0, 
1, 61, 43, 0, 0, 0, NaN, 0, 0, 0, 
1, 62, 43, 0, 0, 0, NaN, 0, 0, 0, 
1, 62, 44, 0, 0, 0, NaN, 0, 0, 0, 
1, 35, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 35, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 37, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 23, 10, 0, 0, 0, 0.184060824979498, 0, 0, 0, 
1, 23, 9, 0, 0, 0, 0.184060824979498, 0, 0, 0, 
1, 24, 9, 0, 0, 0, 0.184060824979498, 0, 0, 0, 
1, 25, 9, 0, 0, 0, 0.184060824979498, 0, 0, 0, 
1, 26, 9, 0, 0, 0, 0.184060824979498, 0, 0, 0, 
1, 27, 9, 0, 0, 0, 0.184060824979498, 0, 0, 0, 
1, 49, 65, 0, 0, 0, NaN, 0, 0, 0, 
1, 49, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 50, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 51, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 51, 67, 0, 0, 0, NaN, 0, 0, 0, 
1, 51, 68, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 28, 0, 0, 0, NaN, 0, 0, 0, 
1, 40, 28, 0, 0, 0, NaN, 0, 0, 0, 
1, 40, 27, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 27, 0, 0, 0, NaN, 0, 0, 0, 
1, 38, 27, 0, 0, 0, NaN, 0, 0, 0, 
1, 38, 28, 0, 0, 0, NaN, 0, 0, 0, 
1, 97, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 97, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 94, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 93, 96, 0, 0, 0, NaN, 0, 0, 0, 
1, 44, 52, 0, 0, 0, NaN, 0, 0, 0, 
1, 43, 52, 0, 0, 0, NaN, 0, 0, 0, 
1, 43, 51, 0, 0, 0, NaN, 0, 0, 0, 
1, 44, 51, 0, 0, 0, NaN, 0, 0, 0, 
1, 45, 51, 0, 0, 0, NaN, 0, 0, 0, 
1, 45, 50, 0, 0, 0, NaN, 0, 0, 0, 
1, 37, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 37, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 38, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 38, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 39, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 92, 6, 0, 0, 0, 0.190828939398908, 0, 0, 0, 
1, 93, 6, 0, 0, 0, 0.190828939398908, 0, 0, 0, 
1, 93, 5, 0, 0, 0, 0.190828939398908, 0, 0, 0, 
1, 93, 4, 0, 0, 0, 0.190828939398908, 0, 0, 0, 
1, 80, 58, 0, 0, 0, NaN, 0, 0, 0, 
1, 80, 59, 0, 0, 0, NaN, 0, 0, 0, 
1, 80, 60, 0, 0, 0, NaN, 0, 0, 0, 
1, 80, 61, 0, 0, 0, NaN, 0, 0, 0, 
1, 79, 61, 0, 0, 0, NaN, 0, 0, 0, 
1, 79, 62, 0, 0, 0, NaN, 0, 0, 0, 
1, 46, 12, 0, 0, 0, 0.189066365476217, 0, 0, 0, 
1, 46, 11, 0, 0, 0, 0.189066365476217, 0, 0, 0, 
1, 45, 11, 0, 0, 0, 0.189066365476217, 0, 0, 0, 
1, 45, 12, 0, 0, 0, 0.189066365476217, 0, 0, 0, 
1, 45, 13, 0, 0, 0, 0.189066365476217, 0, 0, 0, 
1, 46, 13, 0, 0, 0, 0.189066365476217, 0, 0, 0, 
1, 3, 75, 0, 0, 0, NaN, 0, 0, 0, 
1, 3, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 74, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 75, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 76, 0, 0, 0, NaN, 0, 0, 0, 
1, 2, 77, 0, 0, 0, NaN, 0, 0, 0, 
1, 69, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 70, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 70, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 70, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 71, 34, 0, 0, 0, NaN, 0, 0, 0, 
1, 71, 33, 0, 0, 0, NaN, 0, 0, 0, 
1, 18, 77, 0, 0, 0, NaN, 0, 0, 0, 
1, 19, 77, 0, 0, 0, NaN, 0, 0, 0, 
1, 19, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 20, 78, 0, 0, 0, NaN, 0, 0, 0, 
1, 20, 79, 0, 0, 0, NaN, 0, 0, 0, 
1, 20, 80, 0, 0, 0, NaN, 0, 0, 0, 
1, 33, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 33, 36, 0, 0, 0, NaN, 0, 0, 0, 
1, 33, 37, 0, 0, 0, NaN, 0, 0, 0, 
1, 34, 37, 0, 0, 0, NaN, 0, 0, 0, 
1, 34, 36, 0, 0, 0, NaN, 0, 0, 0, 
1, 34, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 92, 99, 0, 0, 0, NaN, 0, 0, 0, 
1, 91, 99, 0, 0, 0, NaN, 0, 0, 0, 
1, 91, 98, 0, 0, 0, NaN, 0, 0, 0, 
1, 91, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 90, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 89, 97, 0, 0, 0, NaN, 0, 0, 0, 
1, 81, 84, 0, 0, 0, NaN, 0, 0, 0, 
1, 81, 85, 0, 0, 0, NaN, 0, 0, 0, 
1, 81, 86, 0, 0, 0, NaN, 0, 0, 0, 
