,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11
TIMESTEP,MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES)
1979-02-22T00:00:00Z,207.786123,201.852198,212.342828,202.711483,218.657524,216.671217,215.387971,207.978406,206.198555,215.465699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-23T00:00:00Z,191.986499,197.47509,201.929816,192.543522,200.071701,197.595957,208.028312,194.926136,196.819284,206.239281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-24T00:00:00Z,196.066536,197.047949,199.377363,191.111902,204.11596,187.961189,197.417628,191.92365,187.491866,192.671545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-25T00:00:00Z,195.201747,194.775076,208.858211,194.013224,207.178636,210.027556,222.540704,204.33416,195.79182,222.734203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-26T00:00:00Z,299.051186,299.201156,296.113881,300.718565,292.403723,298.993822,289.502501,298.752393,298.818197,291.057962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-27T00:00:00Z,334.089797,335.741108,325.784196,336.926708,323.459739,321.949975,313.472636,327.400861,334.814784,314.689649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-28T00:00:00Z,220.630428,225.736759,217.146698,218.92721,206.167812,216.072701,206.905903,212.371226,217.189188,218.210712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-01T00:00:00Z,192.946406,189.617705,188.508024,190.496495,196.365808,192.760952,192.302171,192.76518,190.962196,190.181248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-02T00:00:00Z,205.17278,203.414217,211.145594,206.750757,226.094713,214.93112,211.908161,207.674973,209.762291,211.927784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-03T00:00:00Z,222.454542,225.472232,221.781611,218.085037,228.665683,217.690326,224.466005,219.821177,217.011875,221.827942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-04T00:00:00Z,202.400027,204.182016,204.797601,199.956172,209.800939,204.443632,207.232108,203.471871,201.692556,206.686996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-05T00:00:00Z,202.705537,213.537023,212.443042,225.819263,231.984088,198.322002,202.879417,201.028132,231.968183,198.709075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-06T00:00:00Z,312.109875,313.164791,304.754385,315.785862,296.762743,310.064785,293.859503,312.145326,313.147861,294.30647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-07T00:00:00Z,250.907023,253.382208,229.428189,233.279023,222.591607,243.141927,235.403559,242.437388,229.158014,240.352409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-08T00:00:00Z,258.393764,269.361645,256.389866,271.206157,262.935345,246.622067,244.001421,254.2413,274.888561,240.068041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-09T00:00:00Z,191.699932,204.777301,208.545617,199.581475,236.269372,199.433518,214.960975,200.426281,207.787628,217.743761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-10T00:00:00Z,218.728419,213.97864,212.926051,209.94731,207.407775,217.550025,216.22439,216.456435,207.523631,215.847022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-11T00:00:00Z,302.450656,305.23377,300.971127,306.329661,301.256502,299.934949,294.69925,301.170628,305.666173,295.898345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-12T00:00:00Z,294.426201,298.142724,289.104393,291.549197,290.278826,294.149971,285.095929,294.097539,291.289301,287.411625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-13T00:00:00Z,202.678279,199.326444,196.23803,197.683619,194.268435,199.991103,196.538249,199.889959,195.945661,196.646984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-14T00:00:00Z,256.491801,259.334584,254.704457,255.669271,260.118502,255.758229,253.209737,256.298407,257.35213,253.29923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-15T00:00:00Z,333.611822,338.163521,326.730087,338.616089,330.896583,320.54774,315.487066,326.244603,339.139399,315.046344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-16T00:00:00Z,221.973236,229.684015,206.190155,225.63522,160.368702,205.037558,206.695216,206.357595,214.372582,230.919821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-17T00:00:00Z,205.409039,203.125206,209.01679,201.505314,221.885609,219.832624,213.741493,207.954378,203.766649,219.130153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-18T00:00:00Z,267.362701,246.677798,262.170426,236.159278,239.78981,290.448034,280.014879,276.844651,225.162974,286.847682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-19T00:00:00Z,292.327742,270.585024,285.773893,280.657783,268.89845,308.665201,281.184206,280.674299,279.515675,294.007588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-20T00:00:00Z,300.38934,299.899262,272.831559,291.515215,249.272195,312.181617,259.82483,288.165251,286.27799,292.331391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-21T00:00:00Z,69.571592,72.662947,70.851228,73.950576,115.84552,64.090679,68.207729,68.788196,81.025754,66.096572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-22T00:00:00Z,227.770405,233.928575,223.205259,224.900243,231.948824,217.2174,221.750448,221.37328,223.433408,219.061026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-23T00:00:00Z,216.133762,219.599334,217.184871,213.193391,225.109547,215.867094,219.504973,215.335189,216.009865,218.306298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-24T00:00:00Z,230.624725,234.942741,221.510051,233.437554,227.094514,215.789492,213.835292,223.802178,234.934174,209.954397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-25T00:00:00Z,268.780083,272.106184,270.686805,272.979012,272.560749,271.943243,268.330594,270.80423,273.736112,269.224367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-26T00:00:00Z,307.510668,310.231664,305.279915,310.766566,305.611285,304.245381,296.512717,305.451483,309.852207,297.929996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-27T00:00:00Z,267.986582,276.858323,266.465569,268.071402,275.029209,273.168999,263.915414,271.36811,270.885473,267.124824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-28T00:00:00Z,188.943382,191.031742,191.070734,188.407936,202.48196,187.409672,194.266513,190.583563,191.871796,192.385133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-29T00:00:00Z,204.703016,199.567701,203.011775,198.220074,197.846595,208.106391,206.875532,204.643952,196.323219,207.728377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-30T00:00:00Z,201.3434,196.687518,201.114969,195.663603,197.706834,204.190525,205.224458,201.498653,194.276983,205.920617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-31T00:00:00Z,215.061861,211.601242,213.117411,208.759899,211.379724,217.333892,215.246162,214.366429,207.481573,216.934146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-01T00:00:00Z,210.440002,206.377251,210.267736,203.800846,208.156712,213.876293,213.537912,210.304462,202.676404,216.227267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-02T00:00:00Z,201.405897,196.992127,198.948272,194.768027,197.01661,203.109949,202.428972,200.030982,193.198124,203.826856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-03T00:00:00Z,141.225307,138.523765,112.261208,93.420221,125.883682,136.684779,89.261292,119.988538,63.016813,89.784045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-04T00:00:00Z,192.749436,195.841191,199.526282,195.999381,189.924059,195.942221,206.720225,196.014992,199.833517,208.249564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-05T00:00:00Z,299.828769,305.780581,298.111664,306.549926,300.925852,294.381055,287.837345,297.673275,306.880331,288.007909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-06T00:00:00Z,295.928924,301.659197,292.711192,299.851083,297.271154,290.723347,284.769357,293.489795,300.668235,285.477108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-07T00:00:00Z,297.626599,300.291226,293.808495,300.106239,306.967302,301.285058,295.817099,297.890834,305.869479,298.630201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-08T00:00:00Z,222.543132,218.685288,216.96236,212.878762,214.258689,225.196053,221.080625,221.616003,210.562808,223.739585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-09T00:00:00Z,259.431703,260.756168,257.108969,259.653599,257.461832,257.582892,254.396411,258.959546,259.870901,253.734962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-10T00:00:00Z,284.853393,177.468521,242.10589,144.120933,213.92701,316.806356,320.239848,311.290649,92.418795,320.840472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-11T00:00:00Z,209.614823,218.121147,206.339586,210.188555,219.519158,198.216105,205.280192,204.048433,214.973399,200.833013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
